,Length of Original Program,Length of Optimized Program,Length Difference,Reduction Percentage
Test1,14,14,0,0.0%
Test2,1,1,0,0.0%
Test3,3,3,0,0.0%
Test4,9,8,1,11.11%
Test5,5,4,1,20.0%
Test6,20,16,4,20.0%
Test7,17,16,1,5.88%
Test8,7,7,0,0.0%
Test9,22,19,3,13.64%
Test10,9,9,0,0.0%
Test11,17,16,1,5.88%
Test12,7,7,0,0.0%
Test13,20,18,2,10.0%
Test14,5,5,0,0.0%
Test15,13,10,3,23.08%
Test16,8,7,1,12.5%
Test17,13,9,4,30.77%
Test18,11,7,4,36.36%
Test19,26,22,4,15.38%
Test20,2,2,0,0.0%
