The Reduction of Instructions,,,,
(change of the number of code lines),,,,
,Length of Original Program,Length of Optimized Program,Length Difference,Reduction Percentage
Test1,15,6,9,60.0%
Test2,4,4,0,0.0%
Test3,5,3,2,40.0%
Test4,5,3,2,40.0%
Test5,2,0,2,100.0%
Test6,16,10,6,37.5%
Test7,7,6,1,14.29%
Test8,4,3,1,25.0%
Test9,16,11,5,31.25%
Test10,2,2,0,0.0%
Test11,12,11,1,8.33%
Test12,9,6,3,33.33%
Test13,20,18,2,10.0%
Test14,12,8,4,33.33%
Test15,7,5,2,28.57%
Test16,9,7,2,22.22%
Test17,18,11,7,38.89%
Test18,11,6,5,45.45%
Test19,15,7,8,53.33%
Test20,18,10,8,44.44%
